1	1	0.73307
2	1	0.63846
3	1	0.27690
4	1	-0.05382
5	1	-0.04239
6	1	-0.01619
7	1	0.02785
8	1	-0.01607
9	1	0.02041
10	1	-0.00257
11	1	0.00952
12	1	-0.00554
13	1	-0.00151
14	1	-0.00313
15	1	-0.01251
16	1	0.00826
17	1	-0.00788
18	1	-0.01006
19	1	-0.00434
20	1	-0.01171
21	1	-0.00211
22	1	0.00026
23	1	0.00153
24	1	0.00214
25	1	0.01051
26	1	-0.00852
27	1	-0.00338
28	1	-0.00250
29	1	0.00018
30	1	0.00196
31	1	0.00141
32	1	-0.00172
33	1	0.00183
34	1	-0.00211
35	1	0.00530
36	1	-0.00144
37	1	-0.00348
38	1	0.00015
39	1	0.00242
40	1	0.00390
41	1	-0.00018
42	1	-0.00895
43	1	0.00418
44	1	0.00448
45	1	-0.00110
46	1	0.00302
47	1	0.00355
48	1	0.00087
49	1	-0.00206
50	1	0.00634
51	1	-0.00423
52	1	-0.00230
53	1	0.00035
54	1	-0.00007
55	1	-0.00056
56	1	0.00068
57	1	0.00167
58	1	-0.00375
59	1	0.00002
60	1	0.00968
61	1	0.00000
62	1	0.00015
63	1	-0.00041
64	1	0.00003
65	1	-0.00068
66	1	0.00032
67	1	-0.00045
68	1	0.00029
69	1	0.00004
70	1	-0.00005
71	1	-0.00007
1	2	0.69187
2	2	-0.66978
3	2	-0.26448
4	2	-0.08673
5	2	-0.09146
6	2	-0.02156
7	2	0.06027
8	2	-0.03928
9	2	0.02331
10	2	0.00792
11	2	0.01806
12	2	-0.01253
13	2	0.00425
14	2	-0.01795
15	2	-0.01812
16	2	0.00974
17	2	-0.01272
18	2	-0.01056
19	2	-0.00449
20	2	-0.01597
21	2	0.00035
22	2	-0.00068
23	2	-0.00003
24	2	0.00504
25	2	0.01369
26	2	-0.01182
27	2	-0.00524
28	2	-0.00604
29	2	0.00052
30	2	0.00279
31	2	-0.00123
32	2	-0.00105
33	2	0.00221
34	2	-0.00317
35	2	0.00711
36	2	-0.00127
37	2	-0.00611
38	2	0.00117
39	2	0.00533
40	2	0.00860
41	2	-0.00179
42	2	-0.01330
43	2	0.00427
44	2	0.00930
45	2	-0.00421
46	2	0.00671
47	2	0.00558
48	2	0.00220
49	2	-0.00152
50	2	0.00830
51	2	-0.00777
52	2	-0.00270
53	2	0.00004
54	2	0.00127
55	2	-0.00077
56	2	0.00013
57	2	0.00131
58	2	-0.00531
59	2	0.00222
60	2	0.01481
61	2	-0.00010
62	2	0.00008
63	2	-0.00044
64	2	-0.00029
65	2	-0.00099
66	2	0.00006
67	2	-0.00037
68	2	0.00071
69	2	-0.00002
70	2	-0.00009
71	2	0.00020
1	3	0.08307
2	3	-0.41094
3	3	0.90793
4	3	0.09755
5	3	0.07922
6	3	0.01087
7	3	-0.02932
8	3	0.00673
9	3	-0.01175
10	3	-0.00644
11	3	-0.01029
12	3	0.00357
13	3	-0.01267
14	3	0.02205
15	3	0.01473
16	3	-0.00182
17	3	0.01282
18	3	0.00492
19	3	-0.00405
20	3	0.01121
21	3	-0.00251
22	3	0.00497
23	3	0.01206
24	3	0.00008
25	3	-0.01025
26	3	0.01011
27	3	0.00120
28	3	0.00463
29	3	0.00025
30	3	-0.00268
31	3	0.00610
32	3	-0.00068
33	3	0.00063
34	3	0.00189
35	3	-0.00341
36	3	0.00172
37	3	0.00298
38	3	-0.00349
39	3	-0.00628
40	3	-0.01049
41	3	0.00148
42	3	0.00547
43	3	-0.00080
44	3	-0.00924
45	3	0.00935
46	3	-0.00732
47	3	-0.00620
48	3	-0.00265
49	3	0.00040
50	3	-0.00871
51	3	0.00966
52	3	0.00248
53	3	0.00127
54	3	-0.00191
55	3	0.00053
56	3	0.00008
57	3	-0.00172
58	3	0.00178
59	3	0.00086
60	3	-0.01127
61	3	0.00020
62	3	0.00004
63	3	-0.00001
64	3	0.00039
65	3	0.00056
66	3	0.00014
67	3	0.00006
68	3	-0.00048
69	3	0.00001
70	3	-0.00001
71	3	0.00007
1	4	0.00204
2	4	-0.02077
3	4	0.02501
4	4	-0.99518
5	4	0.18425
6	4	0.02528
7	4	-0.00174
8	4	0.01463
9	4	0.00184
10	4	0.00642
11	4	-0.00111
12	4	-0.01228
13	4	0.00161
14	4	-0.01001
15	4	-0.00608
16	4	0.00634
17	4	0.00075
18	4	-0.00115
19	4	-0.00066
20	4	-0.00186
21	4	0.00017
22	4	0.00582
23	4	0.00384
24	4	0.00113
25	4	0.00089
26	4	-0.00046
27	4	0.00144
28	4	0.00106
29	4	-0.00014
30	4	0.00053
31	4	0.00318
32	4	-0.00014
33	4	0.00000
34	4	-0.00195
35	4	0.00018
36	4	0.00056
37	4	0.00255
38	4	-0.00029
39	4	0.00011
40	4	-0.00165
41	4	-0.00018
42	4	0.00008
43	4	0.00013
44	4	0.00109
45	4	0.00012
46	4	0.00028
47	4	0.00066
48	4	0.00034
49	4	-0.00132
50	4	0.00109
51	4	-0.00201
52	4	-0.00008
53	4	-0.00083
54	4	-0.00174
55	4	-0.00049
56	4	0.00163
57	4	0.00100
58	4	-0.00217
59	4	-0.00098
60	4	0.00205
61	4	0.00023
62	4	0.00038
63	4	0.00020
64	4	0.00025
65	4	0.00035
66	4	0.00023
67	4	-0.00020
68	4	-0.00033
69	4	0.00000
70	4	0.00001
71	4	-0.00009
1	5	0.01234
2	5	0.01764
3	5	0.02143
4	5	0.19280
5	5	0.96792
6	5	0.03595
7	5	0.02495
8	5	-0.06732
9	5	0.01845
10	5	0.00676
11	5	0.00618
12	5	0.00380
13	5	0.00920
14	5	0.00032
15	5	0.00780
16	5	0.00248
17	5	0.00005
18	5	0.00513
19	5	0.00105
20	5	-0.00568
21	5	0.00190
22	5	-0.00597
23	5	-0.00190
24	5	0.00532
25	5	-0.00155
26	5	0.00012
27	5	-0.00036
28	5	-0.00234
29	5	0.00030
30	5	-0.00073
31	5	0.00052
32	5	0.00009
33	5	0.00128
34	5	-0.00081
35	5	0.00522
36	5	-0.00168
37	5	-0.00472
38	5	0.00067
39	5	0.00052
40	5	0.00083
41	5	-0.00035
42	5	-0.00201
43	5	0.00063
44	5	-0.00032
45	5	-0.00016
46	5	-0.00027
47	5	0.00136
48	5	-0.00034
49	5	-0.00076
50	5	0.00092
51	5	-0.00171
52	5	-0.00012
53	5	-0.00064
54	5	0.00009
55	5	-0.00011
56	5	0.00053
57	5	-0.00059
58	5	-0.00073
59	5	0.00156
60	5	0.00034
61	5	-0.00001
62	5	0.00006
63	5	-0.00001
64	5	0.00010
65	5	0.00055
66	5	0.00002
67	5	0.00014
68	5	0.00004
69	5	-0.00002
70	5	-0.00004
71	5	0.00002
1	6	-0.01821
2	6	0.02483
3	6	0.04936
4	6	-0.01551
5	6	-0.07259
6	6	0.98223
7	6	0.11517
8	6	-0.00304
9	6	0.04326
10	6	-0.01402
11	6	-0.00787
12	6	-0.02937
13	6	0.00217
14	6	-0.00873
15	6	-0.01440
16	6	0.00938
17	6	-0.00862
18	6	-0.00613
19	6	-0.00181
20	6	0.00323
21	6	-0.00707
22	6	0.00063
23	6	-0.00665
24	6	-0.00523
25	6	-0.00532
26	6	-0.00149
27	6	0.00325
28	6	0.00105
29	6	-0.00001
30	6	0.00032
31	6	-0.00103
32	6	0.00295
33	6	-0.00369
34	6	0.00193
35	6	-0.01199
36	6	-0.00039
37	6	0.00265
38	6	0.00340
39	6	0.00260
40	6	0.00251
41	6	0.00028
42	6	0.00183
43	6	-0.00341
44	6	0.00659
45	6	-0.00189
46	6	0.00698
47	6	0.00213
48	6	0.00052
49	6	0.00356
50	6	0.00015
51	6	-0.00624
52	6	0.00137
53	6	0.00064
54	6	-0.00227
55	6	-0.00013
56	6	0.00064
57	6	0.00001
58	6	-0.00240
59	6	-0.00101
60	6	0.00535
61	6	0.00011
62	6	0.00012
63	6	-0.00002
