Row	Col.	Element
1	1	1.00983
2	1	0.03925
3	1	-0.06271
4	1	0.01069
5	1	-0.03426
6	1	0.00796
7	1	-0.00025
8	1	0.00837
9	1	-0.00225
10	1	-0.02774
11	1	-0.01374
12	1	0.01795
13	1	0.00464
14	1	-0.02622
15	1	0.00549
16	1	-0.00245
17	1	0.00353
18	1	0.00811
19	1	0.00692
20	1	0.01631
21	1	0.01935
22	1	0.00020
23	1	0.00008
24	1	0.02598
25	1	0.00642
26	1	-0.00212
27	1	-0.00702
28	1	-0.00475
29	1	0.01033
30	1	0.00695
31	1	-0.01210
32	1	0.00185
33	1	0.00298
34	1	0.00205
35	1	-0.00585
36	1	-0.01494
37	1	-0.00068
38	1	0.00008
39	1	0.01026
40	1	0.00119
41	1	0.00646
42	1	0.00251
43	1	-0.00354
44	1	0.00029
45	1	0.00100
46	1	-0.00021
47	1	0.00603
48	1	0.00412
49	1	-0.00012
50	1	0.00679
51	1	-0.00254
52	1	0.00168
53	1	-0.00469
54	1	0.00480
55	1	-0.00053
56	1	0.00469
57	1	0.00891
58	1	0.00259
59	1	0.00793
60	1	0.00443
61	1	-0.00015
62	1	-0.00772
63	1	0.00420
64	1	-0.00001
65	1	0.01219
66	1	-0.00091
67	1	0.00686
68	1	0.01032
69	1	-0.00308
70	1	0.00086
71	1	0.00144
72	1	-0.00340
73	1	0.00581
74	1	-0.00011
75	1	-0.00764
76	1	-0.00654
77	1	-0.01082
78	1	-0.01371
79	1	-0.00012
80	1	-0.00026
81	1	-0.00040
82	1	0.01326
83	1	-0.00925
84	1	0.01405
85	1	-0.00624
86	1	-0.00027
87	1	-0.00318
88	1	-0.00165
89	1	0.00548
90	1	0.00213
91	1	0.00006
92	1	0.00068
93	1	-0.00158
94	1	-0.00182
95	1	-0.00154
96	1	-0.00389
97	1	-0.00025
98	1	0.00320
99	1	-0.00312
100	1	-0.00106
101	1	0.00005
102	1	0.00004
103	1	-0.00011
104	1	-0.00006
105	1	0.00005
106	1	0.00006
107	1	0.00013
108	1	0.00045
1	2	-0.01055
2	2	0.85867
3	2	0.01373
4	2	0.00677
5	2	0.00101
6	2	-0.02264
7	2	0.00500
8	2	0.01733
9	2	0.02241
10	2	-0.01547
11	2	-0.01164
12	2	-0.01090
13	2	0.00936
14	2	0.00663
15	2	-0.00483
16	2	0.00775
17	2	0.01220
18	2	0.00774
19	2	0.01362
20	2	0.00113
21	2	-0.00249
22	2	0.00890
23	2	-0.00254
24	2	-0.01585
25	2	-0.00493
26	2	0.00399
27	2	-0.00124
28	2	-0.00054
29	2	-0.00693
30	2	-0.00524
31	2	0.01706
32	2	0.01031
33	2	0.00085
34	2	0.00267
35	2	-0.00689
36	2	0.00478
37	2	-0.00042
38	2	0.00005
39	2	-0.00538
40	2	0.00000
41	2	0.00421
42	2	-0.00061
43	2	0.01116
